ID,Region,Mean_Z,Peak_Z,Abs_Mean_Z,Peak_MNI,Voxels
9061,Region_9061,1.046733182683522,2.8756555465298956,1.046733182683522,"(-27.0, -36.0, -54.0)",561
9100,Region_9100,-0.9844688478676288,-1.1179698800394207,0.9844688478676288,"(0.0, -39.0, -18.0)",14
8101,Region_8101,0.9481208262103659,3.5872479146569045,0.9481208262103659,"(-36.0, -24.0, 3.0)",59
9021,Region_9021,-0.9136896752625646,-1.455820271344819,0.9136896752625646,"(-3.0, -39.0, -18.0)",46
4111,Region_4111,0.9126464560774503,3.722401637721621,0.9126464560774503,"(-18.0, -6.0, -36.0)",302
9051,Region_9051,0.8602901939976791,2.963885474357001,0.8602901939976791,"(-33.0, -66.0, -51.0)",182
5001,Region_5001,-0.8377533247905036,-3.3328077516003534,0.8377533247905036,"(-12.0, -99.0, -3.0)",693
2502,Region_2502,0.8166617266797505,2.509845970895953,0.8166617266797505,"(6.0, 9.0, -15.0)",89
4021,Region_4021,-0.8104127698096646,-1.503079085242057,0.8104127698096646,"(-9.0, -51.0, 27.0)",135
9071,Region_9071,0.7987279593466662,2.5473181162073755,0.7987279593466662,"(-15.0, -42.0, -51.0)",252
4201,Region_4201,0.762026340288434,3.1484175403146772,0.762026340288434,"(-21.0, 0.0, -24.0)",69
4022,Region_4022,-0.7546090753118943,-1.3844981731014419,0.7546090753118943,"(9.0, -51.0, 30.0)",106
9072,Region_9072,0.7532318264968985,1.748833994336788,0.7532318264968985,"(3.0, -60.0, -48.0)",242
9062,Region_9062,0.7402521914860551,2.4783644242067844,0.7402521914860551,"(36.0, -36.0, -54.0)",683
9150,Region_9150,0.7190399757060799,1.670506828953061,0.7190399757060799,"(6.0, -72.0, -42.0)",65
9082,Region_9082,0.6890766655099925,1.5971282274312255,0.6890766655099925,"(30.0, -33.0, -45.0)",55
5301,Region_5301,-0.6751516800179139,-3.3511762731017014,0.6751516800179139,"(-27.0, -96.0, -6.0)",270
5022,Region_5022,-0.6616534574767292,-2.2994409866790453,0.6616534574767292,"(21.0, -93.0, -9.0)",665
4112,Region_4112,0.6596691196486619,2.5777152890985335,0.6596691196486619,"(21.0, 0.0, -21.0)",345
9081,Region_9081,0.6561883078199501,1.9524394173120934,0.6561883078199501,"(-30.0, -33.0, -45.0)",43
5302,Region_5302,-0.6455301078024948,-2.6476726997597013,0.6455301078024948,"(36.0, -84.0, -15.0)",288
7102,Region_7102,-0.6313258504771242,-1.3089439224876014,0.6313258504771242,"(12.0, -33.0, 3.0)",335
7021,Region_7021,-0.6305956366232911,-0.9687108566547301,0.6305956366232911,"(-12.0, 3.0, 0.0)",86
5002,Region_5002,-0.6188207539769732,-1.964624024738459,0.6188207539769732,"(15.0, -99.0, 3.0)",592
5201,Region_5201,-0.6029666673999654,-3.574121794545149,0.6029666673999654,"(-12.0, -99.0, 0.0)",979
7101,Region_7101,-0.6023600680555966,-1.4084158053265596,0.6023600680555966,"(-3.0, -24.0, 0.0)",345
2331,Region_2331,0.5993890121591181,2.65652203530638,0.5993890121591181,"(-42.0, -33.0, 21.0)",287
9120,Region_9120,-0.5802520896707674,-1.072843225049556,0.5802520896707674,"(3.0, -57.0, 6.0)",174
9052,Region_9052,0.5737050676446045,2.0319960624569378,0.5737050676446045,"(6.0, -75.0, -45.0)",165
7011,Region_7011,-0.5712144825026014,-1.3138328423331738,0.5712144825026014,"(-24.0, 0.0, -9.0)",295
2332,Region_2332,0.5673272456455367,3.7560125385044305,0.5673272456455367,"(42.0, -15.0, 15.0)",401
5021,Region_5021,-0.5571725373573675,-2.5136319945475667,0.5571725373573675,"(-24.0, -90.0, -15.0)",588
5011,Region_5011,-0.5521067871943316,2.12561777758012,0.5521067871943316,"(-12.0, -75.0, 36.0)",460
9160,Region_9160,0.5491873049799887,1.5293560593722948,0.5491873049799887,"(0.0, -60.0, -45.0)",57
8121,Region_8121,0.5468554819776472,-2.861048515714971,0.5468554819776472,"(-48.0, 21.0, -21.0)",365
8211,Region_8211,0.5367205810097457,2.3848364843534435,0.5367205810097457,"(-27.0, 12.0, -42.0)",225
9022,Region_9022,-0.5334782866807875,-0.997422635343097,0.5334782866807875,"(12.0, -33.0, -12.0)",63
8102,Region_8102,0.5174750318661318,2.546598060770571,0.5174750318661318,"(48.0, -12.0, 3.0)",72
5012,Region_5012,-0.5101330907413232,2.6044885973703646,0.5101330907413232,"(15.0, -87.0, 45.0)",381
9110,Region_9110,-0.5083288077345148,-1.2071957807242084,0.5083288077345148,"(0.0, -42.0, -18.0)",64
7022,Region_7022,-0.5039338869957162,-1.0625898685048822,0.5039338869957162,"(27.0, -6.0, 0.0)",77
2401,Region_2401,-0.4742227114630362,-3.078923563230821,0.4742227114630362,"(-9.0, -6.0, 75.0)",661
3002,Region_3002,0.46919396708716693,3.6127284740280707,0.46919396708716693,"(42.0, -15.0, 12.0)",510
8122,Region_8122,0.45471880131852616,4.3588989428227976,0.45471880131852616,"(57.0, 21.0, -12.0)",397
6401,Region_6401,-0.4455449950471714,-2.327046627169672,0.4455449950471714,"(-15.0, -21.0, 78.0)",378
7012,Region_7012,-0.4141950072884051,-1.3182378823041434,0.4141950072884051,"(30.0, 0.0, -9.0)",316
4001,Region_4001,0.41133486339017233,2.256329484873732,0.41133486339017233,"(-6.0, 48.0, 15.0)",449
2101,Region_2101,-0.4020446165103848,-3.006499427296114,0.4020446165103848,"(-21.0, 39.0, 48.0)",1060
5101,Region_5101,-0.38885944871113143,3.3069443212436145,0.38885944871113143,"(-6.0, -87.0, 45.0)",406
2201,Region_2201,-0.36944038729782763,-3.3834206275924874,0.36944038729782763,"(-39.0, 51.0, 18.0)",1438
4202,Region_4202,0.36584906864212624,2.4713020017822522,0.36584906864212624,"(21.0, 0.0, -18.0)",80
2602,Region_2602,-0.3624211073912569,-2.827852704402548,0.3624211073912569,"(9.0, 60.0, 33.0)",610
7001,Region_7001,-0.357759684001133,-1.0968640941930086,0.357759684001133,"(-9.0, -6.0, 18.0)",298
8212,Region_8212,0.35411675292467865,2.6718053921139595,0.35411675292467865,"(48.0, 15.0, -45.0)",350
9031,Region_9031,-0.33332496533486333,1.2685772458520561,0.33332496533486333,"(-30.0, -30.0, -33.0)",365
6301,Region_6301,-0.3301938147688317,2.8873814734596333,0.3301938147688317,"(0.0, -81.0, 48.0)",1037
8201,Region_8201,-0.3202158835957899,-3.660831576612056,0.3202158835957899,"(-57.0, -60.0, -3.0)",1453
2501,Region_2501,0.3128187325554516,1.9758011914594198,0.3128187325554516,"(-3.0, 24.0, -3.0)",80
6211,Region_6211,0.30571956404703343,3.252377030453459,0.30571956404703343,"(-45.0, -33.0, 24.0)",369
3001,Region_3001,0.30014889110349363,3.248290209336064,0.30014889110349363,"(-36.0, -21.0, 3.0)",538
2402,Region_2402,-0.29976497420044845,-2.32016381048056,0.29976497420044845,"(12.0, -6.0, 75.0)",722
4012,Region_4012,-0.2949816985922927,-1.5457657909422715,0.2949816985922927,"(9.0, -48.0, 36.0)",624
6302,Region_6302,-0.2925693248549395,2.176653562695078,0.2925693248549395,"(0.0, -54.0, 72.0)",956
5102,Region_5102,-0.28478427760664693,2.5744201962100437,0.28478427760664693,"(27.0, -87.0, 42.0)",419
9001,Region_9001,-0.2837523426343265,-2.1227177189483877,0.2837523426343265,"(-48.0, -51.0, -30.0)",765
6221,Region_6221,-0.2797239017339043,2.6797635234613666,0.2797239017339043,"(-39.0, -54.0, 27.0)",333
2601,Region_2601,-0.2719679963285604,2.810843614896517,0.2719679963285604,"(-12.0, 63.0, 6.0)",907
9130,Region_9130,-0.2712133559676837,-1.0137464450480798,0.2712133559676837,"(3.0, -72.0, -6.0)",100
2612,Region_2612,-0.26788718009852847,-2.672739931561075,0.26788718009852847,"(12.0, 60.0, -15.0)",263
2301,Region_2301,-0.2637856708767127,-2.425489202207117,0.2637856708767127,"(-60.0, 9.0, 12.0)",293
7002,Region_7002,-0.26274496066095593,1.4840008022117792,0.26274496066095593,"(6.0, 12.0, -9.0)",300
2001,Region_2001,-0.2617732027007832,-2.2144513027595765,0.2617732027007832,"(-36.0, 0.0, 63.0)",1038
8202,Region_8202,-0.25906996613991534,4.358898942877387,0.25906996613991534,"(72.0, -21.0, -12.0)",1343
6102,Region_6102,-0.2578216974494736,-2.034350959222874,0.2578216974494736,"(30.0, -75.0, 51.0)",649
9041,Region_9041,-0.25494145493092596,-1.0331779331711848,0.25494145493092596,"(-33.0, -75.0, -21.0)",514
9011,Region_9011,0.2423120404475183,2.6511327259821447,0.2423120404475183,"(-33.0, -78.0, -48.0)",570
2212,Region_2212,-0.24194383106837575,4.358898942711444,0.24194383106837575,"(18.0, 54.0, -21.0)",302
9170,Region_9170,-0.23666754524631659,0.6195114507770947,0.23666754524631659,"(6.0, -51.0, -33.0)",31
2202,Region_2202,-0.2350697221293559,4.358898942702961,0.2350697221293559,"(54.0, 42.0, 18.0)",1534
2611,Region_2611,-0.22136592328702018,-1.4441528343137564,0.22136592328702018,"(-6.0, 63.0, -12.0)",232
2111,Region_2111,-0.21693763052128193,1.9756687437038243,0.21693763052128193,"(-9.0, 54.0, -24.0)",300
6101,Region_6101,-0.21495045885762729,2.6050612333552863,0.21495045885762729,"(-12.0, -75.0, 39.0)",592
2211,Region_2211,-0.21476707791554078,-1.8661588026051164,0.21476707791554078,"(-21.0, 36.0, -18.0)",250
8111,Region_8111,0.20859839988911097,3.098482936293976,0.20859839988911097,"(-39.0, -24.0, 3.0)",728
9002,Region_9002,-0.19309374401737903,-1.8529715524562345,0.19309374401737903,"(39.0, -75.0, -24.0)",809
5202,Region_5202,-0.18707339035987733,3.2834122589224934,0.18707339035987733,"(45.0, -84.0, 18.0)",612
2102,Region_2102,-0.18546841755745963,-2.7194807948084447,0.18546841755745963,"(30.0, 30.0, 54.0)",1195
4011,Region_4011,-0.1849105880883426,2.1940331210101047,0.1849105880883426,"(-9.0, -18.0, 48.0)",578
9012,Region_9012,0.1807756802626456,1.4039437243002446,0.1807756802626456,"(6.0, -81.0, -42.0)",607
6202,Region_6202,-0.16753317666653164,1.4964356113323432,0.16753317666653164,"(54.0, -51.0, 48.0)",387
9140,Region_9140,0.16742378035074917,-0.9052084233469662,0.16742378035074917,"(3.0, -81.0, -18.0)",54
2702,Region_2702,-0.1634019362172177,-2.0976075690865583,0.1634019362172177,"(6.0, 30.0, -18.0)",201
2312,Region_2312,0.14627944175327906,4.358898942613403,0.14627944175327906,"(57.0, 30.0, 30.0)",661
6402,Region_6402,-0.13309136336384017,-0.9295389482532643,0.13309136336384017,"(6.0, -45.0, 78.0)",245
9042,Region_9042,-0.13289103465300942,-1.975080808513275,0.13289103465300942,"(30.0, -81.0, -21.0)",528
8301,Region_8301,-0.11827362645412477,4.358898942329301,0.11827362645412477,"(-42.0, -12.0, -39.0)",932
2321,Region_2321,0.10931107479543922,4.358898943077944,0.10931107479543922,"(-24.0, 18.0, -27.0)",489
6001,Region_6001,0.10748303062312782,2.1816685887500467,0.10748303062312782,"(-54.0, -18.0, 51.0)",1148
4002,Region_4002,0.10469051884661398,2.247583009493388,0.10469051884661398,"(6.0, 27.0, 15.0)",373
5401,Region_5401,-0.10356313363569788,4.358898942885404,0.10356313363569788,"(-18.0, -3.0, -42.0)",666
4101,Region_4101,0.10178976335549175,2.864042113044284,0.10178976335549175,"(-18.0, -15.0, -21.0)",280
6002,Region_6002,0.09811246175983011,-3.4877377624456614,0.09811246175983011,"(57.0, -15.0, 48.0)",1127
2701,Region_2701,-0.0973733888816196,3.625133760985378,0.0973733888816196,"(-6.0, 60.0, -24.0)",246
2112,Region_2112,-0.09674502274349035,-2.3017834862866624,0.09674502274349035,"(18.0, 60.0, -12.0)",300
6222,Region_6222,0.0777799956185775,3.102869731810522,0.0777799956185775,"(54.0, -69.0, 39.0)",540
8302,Region_8302,-0.07327009709564228,-2.9670989998424226,0.07327009709564228,"(60.0, -57.0, -6.0)",1001
6201,Region_6201,-0.07102264877806068,2.455280189388821,0.07102264877806068,"(-60.0, -39.0, 39.0)",737
9032,Region_9032,-0.06994003358766168,1.0428504103512484,0.06994003358766168,"(30.0, -30.0, -33.0)",257
8112,Region_8112,-0.06126208504799936,4.35889894272759,0.06126208504799936,"(72.0, -15.0, 9.0)",914
2002,Region_2002,-0.052733850988318114,2.563027223916401,0.052733850988318114,"(42.0, -15.0, 36.0)",991
2302,Region_2302,-0.03212731476169577,2.1506435228489877,0.03212731476169577,"(63.0, 12.0, 3.0)",406
5402,Region_5402,-0.028499749834198864,-3.792765362529748,0.028499749834198864,"(42.0, -39.0, -21.0)",747
4102,Region_4102,-0.02329548383397816,2.283834828525056,0.02329548383397816,"(18.0, -9.0, -15.0)",270
2322,Region_2322,0.010094019340501999,4.358898942967414,0.010094019340501999,"(57.0, 21.0, -9.0)",503
6212,Region_6212,-0.009554024400777007,-3.527110754240113,0.009554024400777007,"(66.0, -33.0, 33.0)",581
2311,Region_2311,0.008669414000585329,4.358898942620698,0.008669414000585329,"(-60.0, 24.0, 21.0)",786
